number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
19,PRUNED,2.4970000000000003,64,256,7.89815997242497e-05,1,2000,0.5960530986233461,0.4686160723961771,0.5496994561722784
20,PRUNED,67.92699999999967,64,512,0.0007319047676053486,3,8000,0.6043593248183748,0.3564066177680287,0.5899207263084966
21,COMPLETE,6.424999999999994,64,512,4.961465290743743e-05,3,500,0.31951476349954766,0.32708132546573637,0.6614633825661836
22,PRUNED,4.392999999999997,64,512,1.536590693201628e-05,3,500,0.44614730484690635,0.30878945671003927,0.5917462265525484
23,COMPLETE,2.0000000000000013,128,512,2.6051658878159103e-05,1,8000,0.40516043202430113,0.5270237494427356,0.6363074511417824
24,COMPLETE,3.8999999999999986,128,512,1.956925076718487e-05,1,500,0.4341414167049329,0.46606661337544186,0.6441297398398376
25,PRUNED,-5.148999999999998,32,256,3.4354049038885254e-05,3,1000,0.4241882941674182,0.45917111763480295,0.6595272827243646
26,PRUNED,70.71799999999918,64,512,0.00022318445823771153,5,2000,0.5693661941871684,0.3249691396139602,0.3214718380562742
27,COMPLETE,58.32500000000045,64,256,0.00011863568723748824,5,1000,0.6746099103692934,0.35138734160464286,0.32142134710090053
28,PRUNED,8.282999999999994,64,256,5.27878351184902e-05,5,1000,0.6279913833444556,0.4213493014091992,0.32186899101254673
29,COMPLETE,61.62500000000044,64,256,7.058234828386549e-05,5,1000,0.6562159381902367,0.36903436683798474,0.3459509742962672
30,COMPLETE,19.02500000000002,32,512,7.501780901151161e-05,5,2000,0.6617514309715032,0.40211613969181564,0.37828928102614584
31,COMPLETE,19.175000000000026,128,512,0.0003195581158783633,3,8000,0.3211278341668496,0.40922820203625526,0.5374056948595066
32,COMPLETE,63.20000000000048,64,256,0.0001189852674412032,5,1000,0.6415949466390672,0.31293081403982664,0.3641803324946969
33,COMPLETE,7.19999999999999,64,256,0.00021791225786553753,5,1000,0.6031876289231523,0.3631864843666245,0.34195076085961706
34,COMPLETE,29.30000000000013,128,512,0.000393630380128016,3,8000,0.37190636192409077,0.47738341140138185,0.6330688120702501
35,PRUNED,89.1180000000005,128,512,0.000551846420089993,3,8000,0.40235357562252894,0.48016698869432556,0.6272243887529331
